Title,Description,Category
"Problem z faktur¹","Próbowalem zap³aciæ kart¹, ale system odrzuci³. Mo¿ecie wystawiæ now¹ fakturê?","BillingIssue"
"B³¹d logowania","Nie mogê siê zalogowaæ na konto, reset has³a nie dzia³a.","AccountProblem"
"Chcia³bym API do statystyk","Czy wasz system udostêpnia endpoint do pobierania statystyk u¿ytkowników?","FeatureRequest"
"Ostrze¿enie dot. bezpieczeñstwa","Zauwa¿y³em podejrzan¹ aktywnoœæ w moim koncie, czy to wyciek?","SecurityConcern"
"Zmiana planu rozliczeniowego","Czy mogê zmieniæ plan na premium, p³ac¹c tylko ró¿nicê w cenie?","BillingIssue"
"Brak mo¿liwoœci zmiany maila","Nie widzê opcji zmiany adresu email w profilu. Czy planujecie to dodaæ?","FeatureRequest"
"Niepokoj¹cy komunikat w konsoli","Pokazuje siê b³¹d o braku autoryzacji, czy to groŸne?","SecurityConcern"
"Proœba o usuniêcie konta","Jak usun¹æ konto wraz z danymi? Nie znalaz³em takiej funkcji.","AccountProblem"
"Proœba o wystawienie duplikatu faktury","Potrzebujê duplikat faktury za ostatni miesi¹c.","BillingIssue"
"Zg³oszenie nowego pomys³u","Chcia³bym mieæ mo¿liwoœæ filtrowania wiadomoœci wg tagów.","FeatureRequest"
"Portfel nie dzia³a","Podczas p³atnoœci walutowej wystêpuje b³¹d konwersji, co mogê zrobiæ?","BillingIssue"
"Problem z kluczem API","Generuje klucz, ale nie dzia³a w mojej aplikacji. B³¹d 403.","AccountProblem"
"B³¹d w statystykach","Dane analityczne w panelu ró¿ni¹ siê od realnych, czy to bug?","FeatureRequest"
"Naruszenie bezpieczeñstwa?","Mam wra¿enie, ¿e ktoœ podgl¹da moj¹ aktywnoœæ w koncie...","SecurityConcern"