ArticleId,TitleLength,KeywordsCount,Category,AuthorExperience,Views
1,500,3,"Technology","Newbie",4400
2,200,2,"Lifestyle","Newbie",2238
3,1000,5,"Finance","Experienced",7061
4,700,3,"Technology","Experienced",5545
5,300,2,"Finance","Newbie",2602
6,1200,6,"Technology","Experienced",7642
7,350,2,"Lifestyle","Newbie",2366
8,900,4,"Finance","Experienced",5551
9,600,3,"Technology","Newbie",4170
10,800,5,"Technology","Experienced",6442
11,250,1,"Lifestyle","Newbie",2055
12,400,2,"Finance","Experienced",3348
13,1000,5,"Lifestyle","Experienced",5550
14,1300,7,"Technology","Newbie",8192
15,750,4,"Finance","Newbie",4609
16,500,3,"Lifestyle","Experienced",3962
17,950,4,"Technology","Experienced",6035
18,650,2,"Finance","Newbie",3177
19,1100,6,"Technology","Experienced",7559
20,220,1,"Lifestyle","Newbie",2121